PLAYER_NAME,PLAYER_ID,shot_description,shot_count,shot_makes,shot_group,year
Kevin Ollie,1563,2PT Jump Shot,8,3,TWO_POINT_JUMPERS,2000
Kevin Ollie,1563,2PT Running Jump Shot,1,1,TWO_POINT_JUMPERS,2000
Kevin Ollie,1563,Driving Layup,2,2,LAYUPS,2000
Kevin Ollie,1563,Standard Layup,1,0,LAYUPS,2000
Kevin Ollie,1563,2PT Jump Shot,20,8,TWO_POINT_JUMPERS,2001
Kevin Ollie,1563,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2001
Kevin Ollie,1563,Driving Layup,2,0,LAYUPS,2001
Kevin Ollie,1563,Finger Roll,1,1,LAYUPS,2001
Kevin Ollie,1563,Standard Layup,3,1,LAYUPS,2001
Kevin Ollie,1563,2PT Fadeaway Jump Shot,1,1,TWO_POINT_JUMPERS,2002
Kevin Ollie,1563,2PT Jump Shot,11,6,TWO_POINT_JUMPERS,2002
Kevin Ollie,1563,2PT Running Jump Shot,1,0,TWO_POINT_JUMPERS,2002
Kevin Ollie,1563,3PT Jump Shot,2,1,THREE_POINT_JUMPERS,2002
Kevin Ollie,1563,Driving Layup,3,1,LAYUPS,2002
Kevin Ollie,1563,Reverse Layup,2,0,LAYUPS,2002
Kevin Ollie,1563,Standard Layup,6,2,LAYUPS,2002
Kevin Ollie,1563,2PT Jump Shot,3,1,TWO_POINT_JUMPERS,2008
Kevin Ollie,1563,Standard Layup,1,0,LAYUPS,2008
Kevin Ollie,1563,2PT Jump Shot,1,0,TWO_POINT_JUMPERS,2010
