PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,year
Mindaugas Kuzminskas,1627851,Cutting Dunk Shot,2PT Field Goal,1,1,DUNKS,2017
Mindaugas Kuzminskas,1627851,Cutting Layup Shot,2PT Field Goal,1,1,LAYUPS,2017
Mindaugas Kuzminskas,1627851,Driving Layup Shot,2PT Field Goal,2,0,LAYUPS,2017
Mindaugas Kuzminskas,1627851,Dunk Shot,2PT Field Goal,2,2,DUNKS,2017
Mindaugas Kuzminskas,1627851,Floating Jump shot,2PT Field Goal,2,2,SPECIALTY_SHOTS,2017
Mindaugas Kuzminskas,1627851,Hook Shot,2PT Field Goal,1,0,POST_MOVES,2017
Mindaugas Kuzminskas,1627851,Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS,2017
Mindaugas Kuzminskas,1627851,Jump Shot,3PT Field Goal,21,6,JUMP_SHOTS,2017
Mindaugas Kuzminskas,1627851,Layup Shot,2PT Field Goal,1,1,LAYUPS,2017
Mindaugas Kuzminskas,1627851,Running Layup Shot,2PT Field Goal,1,1,LAYUPS,2017
Mindaugas Kuzminskas,1627851,Turnaround Hook Shot,2PT Field Goal,2,2,POST_MOVES,2017
