PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,old_description,shot_group,efg%,year
Aleksej Pokusevski,1630197,Finger Roll,2PT Field Goal,1,1,Driving Finger Roll Layup Shot,LAYUPS,1.0,2022
Aleksej Pokusevski,1630197,Jump Shot,3PT Field Goal,5,1,Jump Shot,JUMP_SHOTS,0.3,2022
Aleksej Pokusevski,1630197,Pullup Jump Shot,2PT Field Goal,1,0,Pullup Jump shot,JUMP_SHOTS,0.0,2022
Aleksej Pokusevski,1630197,Floating Jump Shot,2PT Field Goal,1,0,Driving Floating Bank Jump Shot,FLOATING_SHOTS,0.0,2023
Aleksej Pokusevski,1630197,Specialty Dunk,2PT Field Goal,1,1,Cutting Dunk Shot,DUNKS,1.0,2024
Aleksej Pokusevski,1630197,Standard Layup,2PT Field Goal,4,2,Cutting Layup Shot,LAYUPS,0.5,2024
Aleksej Pokusevski,1630197,Finger Roll,2PT Field Goal,2,2,Driving Finger Roll Layup Shot,LAYUPS,1.0,2024
Aleksej Pokusevski,1630197,Floating Jump Shot,2PT Field Goal,1,0,Driving Floating Bank Jump Shot,FLOATING_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Floating Jump Shot,2PT Field Goal,7,3,Driving Floating Jump Shot,FLOATING_SHOTS,0.4285714285714285,2024
Aleksej Pokusevski,1630197,Driving Hook Shot,2PT Field Goal,1,0,Driving Hook Shot,POST_MOVES,0.0,2024
Aleksej Pokusevski,1630197,Driving Layup,2PT Field Goal,4,2,Driving Layup Shot,LAYUPS,0.5,2024
Aleksej Pokusevski,1630197,Driving Layup,2PT Field Goal,1,1,Driving Reverse Layup Shot,LAYUPS,1.0,2024
Aleksej Pokusevski,1630197,Fadeaway Jump Shot,2PT Field Goal,3,1,Fadeaway Jump Shot,JUMP_SHOTS,0.3333333333333333,2024
Aleksej Pokusevski,1630197,Floating Jump Shot,2PT Field Goal,1,0,Floating Jump shot,FLOATING_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Hook Shot,2PT Field Goal,1,1,Hook Shot,POST_MOVES,1.0,2024
Aleksej Pokusevski,1630197,Jump Shot,2PT Field Goal,5,2,Jump Shot,JUMP_SHOTS,0.4,2024
Aleksej Pokusevski,1630197,Jump Shot,3PT Field Goal,24,13,Jump Shot,JUMP_SHOTS,0.8125,2024
Aleksej Pokusevski,1630197,Pullup Jump Shot,2PT Field Goal,6,1,Pullup Jump shot,JUMP_SHOTS,0.1666666666666666,2024
Aleksej Pokusevski,1630197,Pullup Jump Shot,3PT Field Goal,2,0,Pullup Jump shot,JUMP_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Reverse Layup,2PT Field Goal,1,1,Reverse Layup Shot,LAYUPS,1.0,2024
Aleksej Pokusevski,1630197,Standard Dunk,2PT Field Goal,2,2,Running Dunk Shot,DUNKS,1.0,2024
Aleksej Pokusevski,1630197,Running Jump Shot,3PT Field Goal,3,0,Running Jump Shot,JUMP_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Standard Layup,2PT Field Goal,6,2,Running Layup Shot,LAYUPS,0.3333333333333333,2024
Aleksej Pokusevski,1630197,Running Jump Shot,3PT Field Goal,1,1,Running Pull-Up Jump Shot,JUMP_SHOTS,1.5,2024
Aleksej Pokusevski,1630197,Step Back Jump Shot,3PT Field Goal,1,0,Step Back Jump shot,JUMP_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Specialty Dunk,2PT Field Goal,1,1,Tip Dunk Shot,DUNKS,1.0,2024
Aleksej Pokusevski,1630197,Turnaround Jump Shot,2PT Field Goal,1,0,Turnaround Fadeaway shot,JUMP_SHOTS,0.0,2024
Aleksej Pokusevski,1630197,Turnaround Hook Shot,2PT Field Goal,2,0,Turnaround Hook Shot,POST_MOVES,0.0,2024
