PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group,efg%,year
Gordan Giricek,1921,Jump Shot,2PT Field Goal,8,2,STANDARD_JUMP_SHOTS,0.25,2003
Gordan Giricek,1921,Jump Shot,3PT Field Goal,1,0,STANDARD_JUMP_SHOTS,0.0,2003
Gordan Giricek,1921,Layup Shot,2PT Field Goal,1,1,STANDARD_LAYUPS,1.0,2003
Gordan Giricek,1921,Running Jump Shot,2PT Field Goal,1,1,MOVING_JUMPERS,1.0,2003
Gordan Giricek,1921,Driving Layup Shot,2PT Field Goal,6,6,DRIVING_LAYUPS,1.0,2004
Gordan Giricek,1921,Jump Shot,2PT Field Goal,34,12,STANDARD_JUMP_SHOTS,0.3529411764705882,2004
Gordan Giricek,1921,Jump Shot,3PT Field Goal,10,5,STANDARD_JUMP_SHOTS,0.75,2004
Gordan Giricek,1921,Layup Shot,2PT Field Goal,3,2,STANDARD_LAYUPS,0.6666666666666666,2004
Gordan Giricek,1921,Reverse Layup Shot,2PT Field Goal,1,0,SPECIALTY_LAYUPS,0.0,2004
Gordan Giricek,1921,Running Jump Shot,2PT Field Goal,4,2,MOVING_JUMPERS,0.5,2004
Gordan Giricek,1921,Running Jump Shot,3PT Field Goal,1,0,MOVING_JUMPERS,0.0,2004
Gordan Giricek,1921,Driving Layup Shot,2PT Field Goal,2,2,DRIVING_LAYUPS,1.0,2005
Gordan Giricek,1921,Jump Shot,2PT Field Goal,12,8,STANDARD_JUMP_SHOTS,0.6666666666666666,2005
Gordan Giricek,1921,Jump Shot,3PT Field Goal,4,0,STANDARD_JUMP_SHOTS,0.0,2005
Gordan Giricek,1921,Layup Shot,2PT Field Goal,4,3,STANDARD_LAYUPS,0.75,2005
Gordan Giricek,1921,Running Jump Shot,2PT Field Goal,3,2,MOVING_JUMPERS,0.6666666666666666,2005
Gordan Giricek,1921,Jump Shot,2PT Field Goal,5,2,STANDARD_JUMP_SHOTS,0.4,2006
Gordan Giricek,1921,Jump Shot,3PT Field Goal,1,0,STANDARD_JUMP_SHOTS,0.0,2006
Gordan Giricek,1921,Layup Shot,2PT Field Goal,2,2,STANDARD_LAYUPS,1.0,2006
Gordan Giricek,1921,Running Jump Shot,2PT Field Goal,1,1,MOVING_JUMPERS,1.0,2006
Gordan Giricek,1921,Tip Shot,2PT Field Goal,1,1,TIP_SHOTS,1.0,2006
Gordan Giricek,1921,Jump Shot,3PT Field Goal,1,1,STANDARD_JUMP_SHOTS,1.5,2007
Gordan Giricek,1921,Driving Bank shot,2PT Field Goal,1,1,MOVING_JUMPERS,1.0,2008
Gordan Giricek,1921,Driving Dunk Shot,2PT Field Goal,1,1,DRIVING_DUNKS,1.0,2008
Gordan Giricek,1921,Driving Layup Shot,2PT Field Goal,7,6,DRIVING_LAYUPS,0.8571428571428571,2008
Gordan Giricek,1921,Driving Reverse Layup Shot,2PT Field Goal,1,1,DRIVING_LAYUPS,1.0,2008
Gordan Giricek,1921,Dunk Shot,2PT Field Goal,1,1,BASIC_DUNKS,1.0,2008
Gordan Giricek,1921,Fadeaway Jump Shot,2PT Field Goal,2,1,FADEAWAY_JUMPERS,0.5,2008
Gordan Giricek,1921,Floating Jump shot,2PT Field Goal,1,1,FLOATING_SHOTS,1.0,2008
Gordan Giricek,1921,Hook Shot,2PT Field Goal,1,1,STANDARD_HOOKS,1.0,2008
Gordan Giricek,1921,Jump Shot,2PT Field Goal,39,13,STANDARD_JUMP_SHOTS,0.3333333333333333,2008
Gordan Giricek,1921,Jump Shot,3PT Field Goal,34,13,STANDARD_JUMP_SHOTS,0.5735294117647058,2008
Gordan Giricek,1921,Layup Shot,2PT Field Goal,4,4,STANDARD_LAYUPS,1.0,2008
Gordan Giricek,1921,Pullup Jump shot,2PT Field Goal,2,2,STANDARD_JUMP_SHOTS,1.0,2008
Gordan Giricek,1921,Reverse Layup Shot,2PT Field Goal,2,2,SPECIALTY_LAYUPS,1.0,2008
Gordan Giricek,1921,Running Bank shot,2PT Field Goal,2,1,MOVING_JUMPERS,0.5,2008
Gordan Giricek,1921,Running Jump Shot,2PT Field Goal,8,6,MOVING_JUMPERS,0.75,2008
Gordan Giricek,1921,Step Back Jump shot,2PT Field Goal,2,2,STEP_BACK_JUMPERS,1.0,2008
Gordan Giricek,1921,Turnaround Jump Shot,2PT Field Goal,1,1,TURNAROUND_JUMPERS,1.0,2008
